c0,c1,org,category,name,city,address,zip,link,linkType
-78.659875,35.789615,Flying Biscuit Cafe,Food and drink,Flying Biscuit Cafe,Raleigh,2016 Clark Ave,27605,,
-78.6383917,35.7978663,Castle Video & News,Shopping,Castle Video & News,Raleigh,1210 Capital Blvd,27603,,
-80.88787,36.180389,Raffaldini Vineyards & Winery,Vineyard,Raffaldini Vineyards & Winery,Ronda,450 Groce Rd,28670,,
-79.175239,35.472763,Sanford Video & News,Shopping,Sanford Video & News,Sanford,667 S Horner Blvd,27330,,
-79.319075,35.946722,Haw River Farmhouse Ales,Brewery,Haw River Farmhouse Ales,Saxapahaw,1713 Saxapahaw-Bethlehem Church Rd,27340,,
-77.8941626,34.2120907,Tazy's Burgers & Grill,Food and drink,Tazy's Burgers & Grill,Wilmington,4107 Oleander Dr,28403,,
-77.8972894,34.2122278,Flaming Amy's Burrito Barn,Food and drink,Flaming Amy's Burrito Barn,Wilmington,4002 Oleander Dr,28403,,
-77.8893714,34.1989755,Flaming Amy's Burrito Barn,Food and drink,Flaming Amy's Burrito Barn,Wilmington,4418 Shipyard Blvd,28412,,
-77.8771591,34.310089,Flaming Amy's Burrito Barn,Food and drink,Flaming Amy's Burrito Barn,Wilmington,3224 N College Rd,28405,,
-77.8931457,34.1770155,Aunt Kerry's Pet Stop,Pets,Aunt Kerry's Pet Stop,Wilmington,3600 S College Rd,28412,,
-77.8851221,34.2224807,Trolly Stop Hotdogs,Food and drink,Trolly Stop Hotdogs,Wilmington,4502 Fountain Dr,28403,,
-77.8166111,34.2738988,Fermental Beer & Wine,Food and drink,Fermental Beer & Wine,Wilmington,7250 Market St,28411,,
-80.2571979,36.0950819,Club Snap,Food and drink,Club Snap,Winston-Salem,1001 Burke St,27101,https://twitter.com/mysterybrewing/status/712999892092862464,facebook
-80.2507509,36.0975563,Design Archives Vintage and Handmade Emporium,Shopping,Design Archives Vintage and Handmade Emporium,Winston-Salem,636 W 4th St,27101,,
-80.2685646,36.0897955,Wake Forest Baptist Medical Center,Health and wellness,Wake Forest Baptist Medical Center,Winston-Salem,1 Medical Center Blvd,27103,,
-80.2779719,36.1319172,Wake Forest University,Education,Wake Forest University,Winston-Salem,1834 Wake Forest Rd,27106,,
-78.6381787,35.7795897,Raleigh Soapery,Shopping,Raleigh Soapery,,,,https://www.instagram.com/p/BDYXw5Svof3/?taken-by=raleighsoapery,instagram
